Aylar;Anapara;Faiz;Toplam
1.01.2017;158;288;446
1.02.2017;1.679;398;2.077
1.03.2017;95;542;637
1.04.2017;183;428;611
1.05.2017;204;285;489
1.06.2017;243;131;374
1.07.2017;2.420;287;2.707
1.08.2017;146;314;460
1.09.2017;631;680;1.310
1.10.2017;179;334;513
1.11.2017;232;340;571
1.12.2017;871;155;1.026
1.01.2018;177;204;382
1.02.2018;55;314;369
1.03.2018;1.620;637;2.256
1.04.2018;2.416;473;2.889
1.05.2018;211;399;609
1.06.2018;208;173;382
1.07.2018;141;203;344
1.08.2018;85;374;460
1.09.2018;196;612;808
1.10.2018;1.360;317;1.677
1.11.2018;213;338;551
1.12.2018;237;137;374
1.01.2019;142;201;342
1.02.2019;55;388;443
1.03.2019;1.626;619;2.245
1.04.2019;1.509;418;1.927
1.05.2019;163;389;552
1.06.2019;171;264;435
1.07.2019;113;201;314
1.08.2019;434;424;859
1.09.2019;93;556;649
1.10.2019;73;468;541
1.11.2019;1.668;332;2.000
1.12.2019;195;211;406
